,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,pricedollar,change,changepct,changepctparenthesis,volume,color,name
1,1,MSFT,0,0,0,0,0,-1,0.5711052339964494,653.1000,$653.1000,3.1400,0.48%,(0.48%),"2,416,232",/#E24A4A,Adobe Inc
13,13,BAC,0,0,0,0,0,-1,0.19342553868909462,153.9400,$153.9400,0.4400,0.29%,(0.29%),"4,894,760",/#E24A4A,Unity Software Inc
18,18,PFE,0,0,0,0,0,-1,0.13817098214552814,20.9700,$20.9700,-0.6000,-2.78%,(-2.78%),"4,611,596",/#3485FF,IONQ Inc
22,116,TSM,0,0,0,0,-1,-1,-1,121.8000,,-0.5200,-0.43%,(-0.43%),"5,795,681",,Taiwan Semiconductor Mfg. Co. Ltd.
26,105,PYPL,0,0,0,0,-1,-1,-1,197.3500,,6.3300,3.31%,(3.31%),"14,433,205",,Paypal Holdings Inc
20,118,SBUX,0,0,0,0,-1,-1,-1,116.2500,,-0.0100,-0.01%,(-0.01%),"5,806,963",,Starbucks Corporation
5,5,NVDA,0,0,0,0,0,-1,0.39365030748948454,"3,523.1600","$3,523.1600",-0.1300,0.00%,(0.00%),"2,262,683",/#3485FF,"Amazon.com, Inc."
17,17,NFLX,0,0,0,0,0,-1,0.14757388589771991,468.8600,$468.8600,4.1300,0.89%,(0.89%),"3,228,297",/#E24A4A,UnitedHealth Group Inc
24,114,BABA,0,0,0,0,-1,-1,-1,125.0800,,-0.4900,-0.39%,(-0.39%),"22,275,034",,Alibaba Group Holding Ltd - ADR
19,19,NKE,0,0,0,0,0,-1,0.1122572065484644,411.2500,$411.2500,-4.7100,-1.13%,(-1.13%),"4,079,365",/#3485FF,Home Depot Inc
9,9,HD,0,0,0,0,0,-1,0.24717946344066533,318.2600,$318.2600,-6.0100,-1.85%,(-1.85%),"47,555,145",/#3485FF,NVIDIA Corporation
3,3,AMZN,0,0,0,0,0,-1,0.46384565305638037,334.9700,$334.9700,0.0500,0.01%,(0.01%),"24,760,988",/#E24A4A,Microsoft Corporation
11,11,IONQ,0,0,0,0,0,-1,0.2109973847336195,62.4500,$62.4500,0.1800,0.29%,(0.29%),"18,214,420",/#E24A4A,Exxon Mobil Corp
8,8,V,0,0,0,0,0,-1,0.25523284679667346,116.2500,$116.2500,-0.0100,-0.01%,(-0.01%),"5,806,963",/#3485FF,Starbucks Corporation
4,4,LCID,0,0,0,0,0,-1,0.4291770070297111,330.5600,$330.5600,7.7500,2.40%,(2.40%),"19,937,722",/#E24A4A,Meta Platforms Inc
25,119,MRNA,1,0,11,0,-1,-1,-1,283.4000,,1.0500,0.37%,(0.37%),"7,107,664",,Moderna Inc
23,112,ABNB,0,0,0,0,-1,-1,-1,186.4900,,3.3500,1.83%,(1.83%),"4,218,671",,Airbnb Inc
2,2,GOOG,0,0,0,0,0,-1,0.5199255355732354,164.3400,$164.3400,0.9800,0.60%,(0.60%),"6,216,391",/#E24A4A,Johnson & Johnson
15,15,MA,0,0,0,0,0,-1,0.1765475822734067,137.1500,$137.1500,-1.4000,-1.01%,(-1.01%),"11,498,754",/#3485FF,Walmart Inc
16,16,ADBE,0,0,0,0,0,-1,0.16816538463779612,44.1600,$44.1600,-0.5500,-1.23%,(-1.23%),"50,560,328",/#3485FF,Bank of America Corp
