,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,pricedollar,change,changepct,changepctparenthesis,volume,color,name
5,5,NVDA,0,0,0,0,0,-1,0.38730556497131546,318.2600,$318.2600,-6.0100,-1.85%,(-1.85%),"16,082",/#3485FF,NVIDIA Corporation
4,4,LCID,0,0,0,0,0,-1,0.39633053942917185,137.1500,$137.1500,-1.4000,-1.01%,(-1.01%),237,/#3485FF,Walmart Inc
0,0,AAPL,0,0,0,0,0,-1,0.9056678318777469,283.4000,$283.4000,1.0500,0.37%,(0.37%),"2,785",/#E24A4A,Moderna Inc
9,9,HD,0,0,0,0,0,-1,0.2550743271397841,342.3400,$342.3400,2.8300,0.83%,(0.83%),49,/#E24A4A,Mastercard Inc
12,12,WMT,0,0,0,0,0,-1,0.20880812795133227,334.9700,$334.9700,0.0500,0.01%,(0.01%),"5,621",/#E24A4A,Microsoft Corporation
13,13,BAC,0,0,0,0,0,-1,0.20814778107627674,160.7100,$160.7100,-1.8600,-1.14%,(-1.14%),855,/#3485FF,JPMorgan Chase & Co.
15,15,MA,0,0,0,0,0,-1,0.19738728884047274,164.3400,$164.3400,0.9800,0.60%,(0.60%),70,/#E24A4A,Johnson & Johnson
14,14,PG,0,0,0,0,0,-1,0.20509956591639483,186.4900,$186.4900,3.3500,1.83%,(1.83%),"1,222",/#E24A4A,Airbnb Inc
10,10,JNJ,0,0,0,0,0,-1,0.25323924230906913,628.0800,$628.0800,2.5000,0.40%,(0.40%),864,/#E24A4A,Netflix Inc
16,16,ADBE,0,0,0,0,0,-1,0.18291580289261092,121.8000,$121.8000,-0.5200,-0.43%,(-0.43%),770,/#3485FF,Taiwan Semiconductor Mfg. Co. Ltd.
21,108,MU,0,0,0,0,-1,-1,-1,86.0200,,0.1900,0.22%,(0.22%),"0,721",,"Micron Technology, Inc."
6,6,XOM,0,0,0,0,0,-1,0.35519144021936255,"3,523.1600","$3,523.1600",-0.1300,0.00%,(0.00%),360,/#3485FF,"Amazon.com, Inc."
7,7,JPM,0,0,0,0,0,-1,0.324736842971152,153.3400,$153.3400,2.5800,1.71%,(1.71%),"2,065",/#E24A4A,Walt Disney Co
3,3,AMZN,0,0,0,0,0,-1,0.41345738988786246,125.0800,$125.0800,-0.4900,-0.39%,(-0.39%),"35,828",/#3485FF,Alibaba Group Holding Ltd - ADR
8,8,V,0,0,0,0,0,-1,0.2931416636024311,10.3500,$10.3500,0.0600,0.58%,(0.58%),"4,301",/#E24A4A,Nikola Corporation
2,2,GOOG,0,0,0,0,0,-1,0.6073871903769605,175.0800,$175.0800,3.9000,2.28%,(2.28%),"44,432",/#E24A4A,Apple Inc
20,116,TSM,0,0,0,0,-1,-1,-1,121.8000,,-0.5200,-0.43%,(-0.43%),"0,955",,Taiwan Semiconductor Mfg. Co. Ltd.
18,18,PFE,0,0,0,0,0,-1,0.16432278019642219,62.4500,$62.4500,0.1800,0.29%,(0.29%),"1,066",/#E24A4A,Exxon Mobil Corp
19,19,NKE,0,0,0,0,0,-1,0.16427699749495908,208.9900,$208.9900,1.6200,0.78%,(0.78%),518,/#E24A4A,Visa Inc
1,1,MSFT,0,0,0,0,0,-1,0.8152887636659303,197.3500,$197.3500,6.3300,3.31%,(3.31%),"5,750",/#E24A4A,Paypal Holdings Inc
